repo_slug,query_label,family,baseline_tool,correct,indexed_p50_ms,baseline_p50_ms,indexed_p95_ms,baseline_p95_ms,indexed_max_rss_kib,baseline_max_rss_kib
serde-rs_serde,path_all,file_listing,rg --files,true,39.398,14.814,41.138,18.240,4546560,3682304
serde-rs_serde,path_suffix,file_listing,fd,true,39.372,20.099,40.758,23.656,4464640,5853184
serde-rs_serde,path_exact_name,file_listing,fd,true,34.698,19.744,36.287,22.237,4448256,5201920
serde-rs_serde,path_substring,file_listing,rg --files | rg,true,38.898,31.910,40.274,34.928,4517888,3977216
serde-rs_serde,literal_selective,literal_search,rg,true,24.352,18.113,24.913,19.140,4812800,4878336
serde-rs_serde,literal_moderate,literal_search,rg,true,22.336,17.936,24.944,20.971,5173248,5005312
serde-rs_serde,literal_high,literal_search,rg,true,27.509,21.303,36.068,23.891,5160960,5398528
serde-rs_serde,regex_anchor,regex_search,rg,true,24.625,18.135,25.742,20.780,5148672,5148672
serde-rs_serde,regex_weak,regex_search,rg,true,29.958,24.264,49.161,26.557,5660672,6598656
serde-rs_serde,literal_no_match,literal_search,rg,true,27.840,19.064,32.080,22.666,4890624,4825088
serde-rs_serde,regex_no_match,regex_search,rg,true,26.162,19.898,31.383,27.079,4988928,5201920
serde-rs_serde,multi_or,mixed_search,rg,true,28.729,19.962,32.827,24.765,5144576,5582848
serde-rs_serde,path_plus_content,mixed_search,rg,true,25.200,17.870,30.507,23.591,4845568,4976640
kubernetes_kubernetes,path_all,file_listing,rg --files,true,52.715,88.602,56.402,93.859,20713472,8663040
kubernetes_kubernetes,path_suffix,file_listing,fd,true,48.043,85.258,51.041,91.112,19140608,13455360
kubernetes_kubernetes,path_exact_name,file_listing,fd,true,44.661,80.063,49.055,83.834,17092608,10264576
kubernetes_kubernetes,path_substring,file_listing,rg --files | rg,true,45.581,101.486,48.609,106.236,17403904,9383936
kubernetes_kubernetes,literal_selective,literal_search,rg,true,49.498,415.420,53.189,435.331,23969792,12492800
kubernetes_kubernetes,literal_moderate,literal_search,rg,false,50.579,458.911,55.033,624.650,30642176,12476416
